Equipment ID,Device Type,Pickup
4H_100A,Recloser,400
4H_50A,Recloser,200
4H_70A,Recloser,280
CMR_100A,Recloser,400
CMR_140A,Recloser,560
CMR_70A,Recloser,280
DEFAULT_BREAKER,Breaker,
D_15A,Fuse,
D_20A,Fuse,
ES_100A,Fuse,
ES_125A,Fuse,
ES_30A,Fuse,
ES_65A,Fuse,
ES_80A,Fuse,
E_100A,Fuse,
E_125A,Fuse,
E_150A,Fuse,
E_200A,Fuse,
E_25A,Fuse,
E_40A,Fuse,
E_50A,Fuse,
E_65A,Fuse,
E_80A,Fuse,
K_100A,Fuse,
K_140A,Fuse,
K_15A,Fuse,
K_20A,Fuse,
K_25A,Fuse,
K_300A,Fuse,
K_30A,Fuse,
K_40A,Fuse,
K_50A,Fuse,
K_65A,Fuse,
K_80A,Fuse,
K_UNKA,Fuse,
L_100A,Recloser,400
L_140A,Recloser,560
L_200A,Recloser,800
L_70A,Recloser,280
NVSS_800A,Recloser,Electronic
NVST_800A,Recloser,Electronic
NVTT_800A,Recloser,Electronic
N_40A,Fuse,Electronic
SM-4_(E)_100A,Fuse,Electronic
SM-4_(E)_30A,Fuse,Electronic
SM-4_(E)_40A,Fuse,Electronic
SM-4_(E)_65A,Fuse,Electronic
SMD-20_(E)_100A,Fuse,Electronic
SMD-20_(E)_125A,Fuse,Electronic
SMD-20_(E)_150A,Fuse,Electronic
SMD-20_(E)_20A,Fuse,Electronic
SMD-20_(E)_30A,Fuse,Electronic
SMD-20_(E)_40A,Fuse,Electronic
SMD-20_(E)_50A,Fuse,Electronic
SMD-20_(E)_65A,Fuse,Electronic
SMU-20_(E)_100A,Fuse,Electronic
SMU-20_(E)_125A,Fuse,Electronic
SMU-20_(E)_150A,Fuse,Electronic
SMU-20_(E)_15A,Fuse,Electronic
SMU-20_(E)_175A,Fuse,Electronic
SMU-20_(E)_200A,Fuse,Electronic
SMU-20_(E)_20A,Fuse,Electronic
SMU-20_(E)_25A,Fuse,Electronic
SMU-20_(E)_30A,Fuse,Electronic
SMU-20_(E)_40A,Fuse,Electronic
SMU-20_(E)_50A,Fuse,Electronic
SMU-20_(E)_65A,Fuse,Electronic
SMU-20_(E)_80A,Fuse,Electronic
STANDARD_25A,Fuse,Electronic
STANDARD_30A,Fuse,Electronic
STANDARD_40A,Fuse,Electronic
TRIPSAVER_II_100A,Recloser,TS
TRIPSAVER_II_200A,Recloser,TS
T_100A,Fuse,Electronic
T_10A,Fuse,Electronic
T_12A,Fuse,Electronic
T_15A,Fuse,Electronic
T_20A,Fuse,Electronic
T_25A,Fuse,Electronic
T_30A,Fuse,Electronic
T_40A,Fuse,Electronic
T_50A,Fuse,Electronic
T_65A,Fuse,Electronic
T_80A,Fuse,Electronic
T_8A,Fuse,Electronic
UNK_15A,Fuse,Electronic
UNK_50A,Fuse,Electronic
UNK_60A,Fuse,Electronic
UNK_UNKA,Fuse,Electronic
V4H_140A,Recloser,560
V4L_100A,Recloser,400
V4L_140A,Recloser,560
V4L_200A,Recloser,800
VPSS_800A,Recloser,Electronic
VPST_800A,Recloser,Electronic
VPTT_800A,Recloser,Electronic
WVE_560A,Recloser,Electronic
