rec_id,unit_cu
581519278,RECL-TRIPSAVER-100-80T-15KV-1P-C
652958578,RECL-TRIPSAVER-200-100T-15KV-1P-C
650963100,RECL-TRIPSAVER-100-80T-15KV-1P-C
658257641,RECL-TRIPSAVER-100-80T-15KV-1P-C
655926134,RECL-TRIPSAVER-100-80T-15KV-1P-C
655814783,RECL-TRIPSAVER-100-80T-15KV-1P-C
657733730,RECL-TRIPSAVER-100-80T-15KV-1P-C
652804953,RECL-TRIPSAVER-200-100T-15KV-1P-C
651138861,RECL-TRIPSAVER-100-80T-29KV-1P-C
652620002,RECL-TRIPSAVER-100-80T-15KV-1P-C
657776965,RECL-TRIPSAVER-200-150E-29KV-1P-C
659635924,RECL-TRIPSAVER-100-80T-15KV-1P-C
654071669,RECL-TRIPSAVER-200-100T-15KV-1P-C
650808592,RECL-TRIPSAVER-100-80T-15KV-1P-C
655682114,RECL-TRIPSAVER-200-100T-15KV-1P-C
662250790,RECL-TRIPSAVER-200-150E-15KV-1P-C
671023381,RECL-TRIPSAVER-100-80T-15KV-1P-C
675622303,RECL-TRIPSAVER-100-80T-15KV-1P-C
668700826,RECL-TRIPSAVER-200-100T-15KV-1P-C
668910859,RECL-TRIPSAVER-200-100T-15KV-1P-C
671109387,RECL-TRIPSAVER-100-80T-29KV-1P-C
669413484,RECL-TRIPSAVER-100-80T-15KV-1P-C
679856167,RECL-TRIPSAVER-100-80T-29KV-1P-C
669134931,RECL-TRIPSAVER-100-80T-15KV-1P-C
674931202,RECL-TRIPSAVER-100-80T-15KV-1P-C
668663012,RECL-TRIPSAVER-100-80T-15KV-1P-C
671101237,RECL-TRIPSAVER-100-80T-15KV-1P-C
677584821,RECL-TRIPSAVER-200-100T-15KV-1P-C
671213221,RECL-TRIPSAVER-200-100T-15KV-1P-C
670942128,RECL-TRIPSAVER-200-150E-15KV-1P-C
677851016,RECL-TRIPSAVER-100-80T-15KV-1P-C
672256396,RECL-TRIPSAVER-100-80T-15KV-1P-C
676803448,RECL-TRIPSAVER-200-150E-15KV-1P-C
676155286,RECL-TRIPSAVER-100-80T-15KV-1P-C
672612584,RECL-TRIPSAVER-100-80T-15KV-1P-C
670014515,RECL-TRIPSAVER-100-80T-15KV-1P-C
680105351,RECL-TRIPSAVER-200-150E-15KV-1P-C
676872542,RECL-TRIPSAVER-100-80T-15KV-1P-C
671638018,RECL-TRIPSAVER-100-80T-29KV-1P-C
671475310,RECL-TRIPSAVER-100-80T-15KV-1P-C
673029378,RECL-TRIPSAVER-100-80T-29KV-1P-C
669362419,RECL-TRIPSAVER-200-100T-15KV-1P-C
696134755,RECL-TRIPSAVER-200-100T-29KV-1P-C
694074087,RECL-TRIPSAVER-100-80T-15KV-1P-C
697324233,RECL-TRIPSAVER-200-100T-15KV-1P-C
709755274,RECL-TRIPSAVER-100-80T-15KV-1P-C
736880517,RECL-TRIPSAVER-100-80T-15KV-1P-C
739676110,RECL-TRIPSAVER-200-150E-29KV-1P-C
756856292,RECL-TRIPSAVER-200-150E-15KV-1P-C
770966253,RECL-TRIPSAVER-200-100T-15KV-1P-C
785545342,RECL-TRIPSAVER-200-100T-15KV-1P-C
651915140,RECL-TRIPSAVER-100-80T-15KV-1P-C
650824619,RECL-TRIPSAVER-200-100T-15KV-1P-C
659425452,RECL-TRIPSAVER-100-80T-29KV-1P-C
650700567,RECL-TRIPSAVER-100-80T-15KV-1P-C
657488863,RECL-TRIPSAVER-200-100T-15KV-1P-C
652190548,RECL-TRIPSAVER-100-80T-15KV-1P-C
659090607,RECL-TRIPSAVER-100-80T-15KV-1P-C
652912290,RECL-TRIPSAVER-100-80T-15KV-1P-C
653474773,RECL-TRIPSAVER-100-80T-15KV-1P-C
651250251,RECL-TRIPSAVER-100-80T-29KV-1P-C
655707233,RECL-TRIPSAVER-200-100T-15KV-1P-C
656364051,RECL-TRIPSAVER-100-80T-15KV-1P-C
653684917,RECL-TRIPSAVER-100-80T-15KV-1P-C
653289800,RECL-TRIPSAVER-100-80T-15KV-1P-C
651010541,RECL-TRIPSAVER-100-80T-15KV-1P-C
653852415,RECL-TRIPSAVER-100-80T-15KV-1P-C
650778830,RECL-TRIPSAVER-200-150E-15KV-1P-C
651044946,RECL-TRIPSAVER-100-80T-15KV-1P-C
656361093,RECL-TRIPSAVER-100-80T-15KV-1P-C
651238410,RECL-TRIPSAVER-200-100T-15KV-1P-C
650762609,RECL-TRIPSAVER-200-150E-15KV-1P-C
650821987,RECL-TRIPSAVER-100-80T-15KV-1P-C
658743303,RECL-TRIPSAVER-200-100T-15KV-1P-C
669610709,RECL-TRIPSAVER-100-80T-15KV-1P-C
668576217,RECL-TRIPSAVER-100-80T-15KV-1P-C
672655136,RECL-TRIPSAVER-100-80T-29KV-1P-C
674256825,RECL-TRIPSAVER-100-80T-29KV-1P-C
675347588,RECL-TRIPSAVER-100-80T-29KV-1P-C
669619457,RECL-TRIPSAVER-100-80T-15KV-1P-C
679478346,RECL-TRIPSAVER-200-100T-15KV-1P-C
668739202,RECL-TRIPSAVER-200-150E-29KV-1P-C
676253822,RECL-TRIPSAVER-100-80T-29KV-1P-C
675291866,RECL-TRIPSAVER-100-80T-15KV-1P-C
677567610,RECL-TRIPSAVER-100-80T-15KV-1P-C
672492625,RECL-TRIPSAVER-200-100T-15KV-1P-C
680830936,RECL-TRIPSAVER-100-80T-15KV-1P-C
675605278,RECL-TRIPSAVER-100-80T-15KV-1P-C
668898206,RECL-TRIPSAVER-100-80T-15KV-1P-C
674763953,RECL-TRIPSAVER-200-150E-15KV-1P-C
669452597,RECL-TRIPSAVER-100-80T-15KV-1P-C
676859319,RECL-TRIPSAVER-100-80T-29KV-1P-C
670319732,RECL-TRIPSAVER-100-80T-29KV-1P-C
675979091,RECL-TRIPSAVER-100-80T-29KV-1P-C
672535557,RECL-TRIPSAVER-100-80T-15KV-1P-C
673617172,RECL-TRIPSAVER-100-80T-15KV-1P-C
680096894,RECL-TRIPSAVER-200-150E-15KV-1P-C
