Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Downstream_Equipment_Number,Downstream_Equipment_ID,Check_Type,Phase_Note,Ground_Note
67083402,67083402,DEFAULT_BREAKER,38922408,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,245P31_662349529,VPST_800A,38915716,K_65A,Recloser-Fuse,Phase upstream: FID 662349529 not in RecloserDatabase,Ground upstream: FID 662349529 not in RecloserDatabase
67083402,67083402,DEFAULT_BREAKER,38921353,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38933177,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38930358,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38928250,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38928945,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38923405,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38933291,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38917434,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,5V24_786120355,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38927598,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38930779,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,10T37 5V20_38927371,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,752098614,UNK_UNKA,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR'); Ground downstream: Cannot determine fuse curve type for 'UNK_UNKA'
67083402,67083402,DEFAULT_BREAKER,38936996,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,245P31_662349529,VPST_800A,38917024,T_80A,Recloser-Fuse,Phase upstream: FID 662349529 not in RecloserDatabase,Ground upstream: FID 662349529 not in RecloserDatabase
67083402,67083402,DEFAULT_BREAKER,38919750,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38936990,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38931053,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,17T1_38924677,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,2LDT65_38934630,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,5V21_38924223,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38925210,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38918531,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38926727,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38924094,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,245P31_662349529,VPST_800A,49853720,T_100A,Recloser-Fuse,Phase upstream: FID 662349529 not in RecloserDatabase,Ground upstream: FID 662349529 not in RecloserDatabase
67083402,38924058,K_20A,38929915,K_25A,Fuse-Fuse,,"Ground upstream: i=922.0 (log10=2.9647) is outside the data range [10^1.5919, 10^2.9356]."
67083402,67083402,DEFAULT_BREAKER,2C7C45_786120346,T_80A,Breaker-Fuse,Phase upstream: Relay setting error ('CTR'),Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,23BG67_671977350,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38935508,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,245P31_662349529,VPST_800A,15L18_38935334,K_50A,Recloser-Fuse,,Ground upstream: FID 662349529 not in RecloserDatabase
67083402,67083402,DEFAULT_BREAKER,38918555,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,5V26_788636722,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38920520,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38933027,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,4T11_38930843,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,4T19_38930915,T_80A,Breaker-Fuse,Phase upstream: Relay setting error ('CTR'),Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,2C1F10_784763829,T_40A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38933261,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,4T39_38928842,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,2LDT65_38929174,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38924740,K_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38928905,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38933594,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,5V17_38932717,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38936074,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,38918366,K_65A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,10T37 5V20_38923385,K_25A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,398423203,K_25A,Breaker-Fuse,,"Ground upstream: Relay setting error ('CTR'); Ground downstream: i=2830.0 (log10=3.4518) is outside the data range [10^1.7717, 10^3.4144]."
67083402,67083402,DEFAULT_BREAKER,5V24_38923155,T_80A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,671522038,K_65A,Breaker-Fuse,Phase upstream: Relay setting error ('CTR'),Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,10T35_38931109,K_30A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67083402,67083402,DEFAULT_BREAKER,1X9L62_653496754,VPST_800A,Breaker-Recloser,Phase upstream: Relay setting error ('CTR'),Ground upstream: Relay setting error ('CTR')
67083402,1X9L62_653496754,VPST_800A,245P31_662349529,VPST_800A,Recloser-Recloser,Phase downstream: FID 662349529 not in RecloserDatabase,Ground downstream: FID 662349529 not in RecloserDatabase
67083402,245P31_662349529,VPST_800A,2FFR87_85087547,NVTT_800A,Recloser-Recloser,Phase upstream: FID 662349529 not in RecloserDatabase,Ground upstream: FID 662349529 not in RecloserDatabase
67083402,67083402,DEFAULT_BREAKER,1JLY68_784763854,E_100A,Breaker-Fuse,,Ground upstream: Relay setting error ('CTR')
67131201,67131201,DEFAULT_BREAKER,38926513,K_30A,Breaker-Fuse,"Phase downstream: i=4853.0 (log10=3.6860) is outside the data range [10^1.8914, 10^3.5273].","Ground downstream: i=5210.0 (log10=3.7168) is outside the data range [10^1.8914, 10^3.5273]."
67131202,1LJX86_38919316,K_100A,01AR484_406667729,K_20A,Fuse-Fuse,,"Ground downstream: i=2901.0 (log10=3.4625) is outside the data range [10^1.6881, 10^3.3354]."
67131202,1LJX70_521579433,VPST_800A,2BYC21_780847145,K_25A,Recloser-Fuse,,"Ground downstream: i=2605.0 (log10=3.4158) is outside the data range [10^1.7717, 10^3.4144]."
67131202,67131202,DEFAULT_BREAKER,A35_38922882,K_20A,Breaker-Fuse,"Phase downstream: i=4094.0 (log10=3.6121) is outside the data range [10^1.6881, 10^3.3354].","Ground downstream: i=3698.0 (log10=3.5680) is outside the data range [10^1.6881, 10^3.3354]."
67131202,4S8_790349987,T_100A,38926265,K_25A,Fuse-Fuse,"Phase downstream: i=3957.0 (log10=3.5974) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=3495.0 (log10=3.5434) is outside the data range [10^1.7717, 10^3.4144]."
67131202,38948449,T_40A,38926363,K_25A,Fuse-Fuse,,"Ground downstream: i=3005.0 (log10=3.4778) is outside the data range [10^1.7717, 10^3.4144]."
67131202,1LJY03_499306320,T_80A,38927808,K_25A,Fuse-Fuse,"Phase downstream: i=3287.0 (log10=3.5168) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=2637.0 (log10=3.4211) is outside the data range [10^1.7717, 10^3.4144]."
67131202,10S8_38927877,T_80A,85094679,K_25A,Fuse-Fuse,"Phase downstream: i=3200.0 (log10=3.5051) is outside the data range [10^1.7717, 10^3.4144].",
67131202,38948449,T_40A,38926373,K_25A,Fuse-Fuse,,"Ground downstream: i=2928.0 (log10=3.4666) is outside the data range [10^1.7717, 10^3.4144]."
67131202,10S8_38927877,T_80A,160666872,K_25A,Fuse-Fuse,"Phase downstream: i=3195.0 (log10=3.5045) is outside the data range [10^1.7717, 10^3.4144].",
67131202,38926413,T_80A,38926489,K_25A,Fuse-Fuse,"Phase downstream: i=4630.0 (log10=3.6656) is outside the data range [10^1.7717, 10^3.4144].","Ground downstream: i=4684.0 (log10=3.6706) is outside the data range [10^1.7717, 10^3.4144]."
67131202,38927891,T_40A,10SEC2_38927852,K_25A,Fuse-Fuse,,"Ground downstream: i=2659.0 (log10=3.4247) is outside the data range [10^1.7717, 10^3.4144]."
67131202,1LJX70_521579433,VPST_800A,12S11-2_38927869,K_25A,Recloser-Fuse,,"Ground downstream: i=2709.0 (log10=3.4328) is outside the data range [10^1.7717, 10^3.4144]."
67131202,1LJX70_521579433,VPST_800A,38916154,K_25A,Recloser-Fuse,,"Ground downstream: i=2725.0 (log10=3.4354) is outside the data range [10^1.7717, 10^3.4144]."
67131202,67131202,DEFAULT_BREAKER,38929087,K_25A,Breaker-Fuse,,"Ground downstream: i=3997.0 (log10=3.6017) is outside the data range [10^1.7717, 10^3.4144]."
