type,curve,i,t
101,,0;0.115244285327255;0.23390945348778;0.310204588898005;0.433929765608464;0.562471304977469;2.0831939891123,-0.869666231504994;-1.27572413039921;-1.58502665202918;-1.67778070526608;-1.76955107862173;-1.79588001734408;-1.82390874094432
102,,0;0.0649070271596361;0.137733794753713;0.21034527775002;0.268531170386823;0.337399354471897;0.465055519951821;0.585472009738158;2.09031978821371,-0.481486060122112;-0.7594507517174;-1.05060999335509;-1.32790214206428;-1.49485002168009;-1.61978875828839;-1.74472749489669;-1.79588001734408;-1.82390874094432
103,,0;0.146314122011973;0.302136036988719;0.478580923742278;0.648018296651683;0.819761028514099;0.957640803532721;2.09142354382199,-0.431798275933005;-0.85078088734462;-1.16115090926274;-1.42021640338319;-1.61978875828839;-1.76955107862173;-1.85387196432176;-1.85387196432176
104,,0;0.122117536313263;0.308564413561239;0.402622427748528;0.52565368868682;0.581414847918366;0.677816750212234;0.776744756499716;0.945759002456945;1.06503043124017;2.0827031696151,-0.283162276700476;-0.511449283499556;-0.821023052706831;-1;-1.30102999566398;-1.52287874528034;-1.69897000433602;-1.79588001734408;-1.92081875395238;-1.95860731484178;-1.95860731484178
105,,0;0.118760590442382;0.383474257050051;0.758093983251583;0.863435880962986;0.959956740650256;1.07645474581443;1.20222395452792;1.36628844520283;1.5128030907111;2.08996548476835,-0.165579296318467;-0.357535479757879;-0.742321425130815;-1.22914798835786;-1.3767507096021;-1.53760200210104;-1.74472749489669;-1.85387196432176;-1.95860731484178;-2;-2
106,,0;0.0955877469187427;0.175975431749513;0.263020283104046;0.333870278826009;0.407237897076961;0.489635097792664;0.540654760910119;0.579737879001956;0.625867827976824;0.712632868181526;0.812552408196998;0.914459517639457;1.04745789464706;2.08143192576513,0.162564406523019;-0.193820026016113;-0.424812155072339;-0.614393726401688;-0.769551078621726;-0.954677021213343;-1.13667713987954;-1.32790214206428;-1.46852108295774;-1.61978875828839;-1.76955107862173;-1.88605664769316;-1.95860731484178;-1.95860731484178;-1.95860731484178
107,,0;0.130751776765143;0.272120208801097;0.382053082115315;0.473808010319834;0.552035169157616;0.634557874185073;0.747178671360164;0.914396052129786;1.04355874691473;1.17721318371772;2.09148757627491,0.160768561861128;-0.130768280269024;-0.468521082957745;-0.756961951313706;-0.995678626217357;-1.30980391997149;-1.58502665202918;-1.79588001734408;-1.92081875395238;-1.95860731484178;-1.95860731484178;-1.95860731484178
111,,0;0.170789590446392;0.3560067248562;0.545517407601492;0.737009659599659;0.876148532750672;0.992363500045745;1.031287248877;1.1086867714742;1.15189975228108;1.25677305127697;1.36820876066702;1.42019347202915;1.53767052836371;2.10159518175401,0.417305583244525;0.0468851908377101;-0.294136287716081;-0.623423042943488;-0.903089986991944;-1.10790539730952;-1.2839966563652;-1.35654732351381;-1.46852108295774;-1.52287874528034;-1.65757731917779;-1.76955107862173;-1.79588001734408;-1.82390874094432;-1.82390874094432
112,,0;0.133794300604513;0.268671559746992;0.396844205284742;0.520496633432544;0.678390894445094;0.834045382334435;0.99427314897317;1.15234645032082;1.31515343970116;1.47140760526993;1.60738531603722;2.09285287739418,0.393399695293102;0.0930713063760635;-0.1890957193313;-0.458420756053419;-0.694648630553376;-0.924453038607469;-1.13667713987954;-1.30980391997149;-1.43179827593301;-1.55284196865778;-1.61978875828839;-1.65757731917779;-1.65757731917779
113,,0;0.147830849943459;0.309630167425899;0.480782802561479;0.659088637042495;0.78812592986727;0.933163217704462;1.11218256540409;1.26874875455536;1.55229823917388;1.41153553220933;2.09197033026598,0.500785172917456;0.157758886046864;-0.187086643357144;-0.469800301796918;-0.655607726314889;-0.728158393463501;-0.756961951313706;-0.779891911959945;-0.779891911959945;-0.787812395596042;-0.790484985457369;-0.79317412396815
