type,curve,i,t
1T,Melting,0.300139;0.315046;0.328135;0.356141;0.387763;0.457776;0.54088;0.623983;0.766257;1.008809;1.661473,2.462962;1.687895;1.422312;1.134145;0.897473;0.598013;0.322033;0.056905;-0.253366;-0.736601;-1.9914
1T,Clearing,0.391817;0.413501;0.427957;0.452798;0.477642;0.519198;0.565269;0.65741;0.731484;0.844396;1.10682;1.477642;1.689927;1.810975;1.913505;2.048104;4.000226;4.000226,2.465673;1.960253;1.592593;1.302619;1.030713;0.81843;0.608858;0.281851;0.060055;-0.236647;-0.713993;-1.305395;-1.616185;-1.764472;-1.829738;-1.886057;-1.886057;-2
2T,Melting,0.617661;0.63753;0.656501;0.700764;0.754065;0.80962;0.909438;1.017843;1.286133;2.012871,2.457543;1.409666;1.188346;0.961155;0.675696;0.453028;0.180671;-0.07769;-0.593119;-1.995679
2T,Clearing,0.69535;0.716579;0.749094;0.773033;0.827234;0.911248;1.000677;1.205737;1.509259;2.01468;2.152438;2.240966;2.366983;4.000226;4.000226,2.448961;1.746161;1.370371;1.074977;0.790426;0.467475;0.127817;-0.289037;-0.838632;-1.581699;-1.747147;-1.823909;-1.879426;-1.886057;-1.987163
3T,Melting,0.782974;0.795616;0.812332;0.834916;0.867886;0.908539;0.960932;1.01468;1.092819;1.185862;1.432475;1.74729;2.175474,2.464318;1.658989;1.516712;1.245258;1.054651;0.846881;0.635051;0.388439;0.200084;-0.034328;-0.505428;-1.139662;-1.987163
3T,Clearing,0.881436;0.896339;0.944221;0.997517;1.065718;1.164183;1.43654;1.888212;2.142955;2.254064;2.380985;2.445573;2.553523;4.000226;4.000226,2.458898;1.888889;1.292232;0.929991;0.636408;0.254741;-0.336488;-1.142668;-1.486782;-1.642065;-1.767004;-1.809668;-1.882729;-1.872895;-1.995679
5T,Melting,1.000226;1.01152;1.027325;1.077462;1.117208;1.196704;1.296523;1.415763;1.561653;1.969061;2.498419,2.445347;1.878049;1.581753;1.28636;0.998194;0.680218;0.378961;0.127364;-0.149048;-0.962574;-2
5T,Clearing,1.100949;1.141149;1.205286;1.300587;1.411699;1.639792;1.846206;2.149278;2.380533;2.590108;2.747742;2.829042;4.000226;4.000226,2.464318;1.579042;1.13505;0.741191;0.351854;-0.107961;-0.562725;-1.078834;-1.442493;-1.707744;-1.835647;-1.879426;-1.872895;-1.9914
6T,Melting,1.100949;1.157408;1.188121;1.237805;1.282069;1.316396;1.378727;1.477642;1.560749;1.713867;2.032748;2.608175,2.461608;1.726287;1.432702;1.177508;0.974254;0.769651;0.545171;0.282735;0.03161;-0.253366;-0.886725;-1.987163
6T,Clearing,1.189476;1.239159;1.273036;1.315492;1.378274;1.462286;1.563009;1.815944;2.202123;2.488483;2.640244;2.733288;2.845755;2.93112;4.000226;4.000226,2.456188;1.901084;1.558717;1.218609;0.902438;0.601625;0.283188;-0.256098;-0.995679;-1.422508;-1.619789;-1.742321;-1.823909;-1.886057;-1.876148;-1.978811
8T,Melting,1.177733;1.237805;1.311879;1.376467;1.464996;1.60411;1.767163;2.030037;2.406729;2.746838,2.448058;1.962059;1.463866;1.03749;0.740292;0.320686;-0.061881;-0.573651;-1.354578;-2
8T,Clearing,1.294715;1.33085;1.366531;1.418474;1.484418;1.627597;1.843947;2.243675;2.59598;2.804201;2.913957;3.01468;3.16102;4.000226;4.000226,2.463866;1.869918;1.57588;1.281842;0.936313;0.488706;-0.029793;-0.795337;-1.369572;-1.627088;-1.759451;-1.821023;-1.896196;-1.879426;-1.987163
10T,Melting,1.305556;1.346206;1.370145;1.416214;1.480804;1.530036;1.623081;1.719738;1.895438;2.192637;2.509259;2.870145,2.457995;2.006774;1.724481;1.39476;1.098917;0.849591;0.56639;0.294488;-0.089429;-0.691863;-1.312471;-2
10T,Clearing,1.397697;1.458221;1.530488;1.59598;1.694445;1.833108;2.174571;2.511969;2.773938;2.932927;3.066169;3.164635;3.253161;4.000226;4.000226,2.468383;1.791328;1.291779;1.00497;0.620594;0.263328;-0.433209;-1.070581;-1.452225;-1.632644;-1.777284;-1.844664;-1.886057;-1.88941;-1.978811
12T,Melting,1.396341;1.460027;1.494806;1.527778;1.577462;1.647923;1.718383;1.829494;2.03094;2.442864;2.987579,2.456188;1.900633;1.579946;1.343271;1.079944;0.848688;0.584919;0.300356;-0.131003;-0.92775;-2
12T,Clearing,1.495709;1.583334;1.669602;1.801942;1.989837;2.279359;2.582881;2.833559;3.025068;3.116757;3.223351;3.338076;4.000226;4.000226,2.457543;1.677958;1.138211;0.691956;0.168468;-0.388489;-0.935917;-1.353596;-1.603801;-1.730487;-1.8041;-1.876148;-1.882729;-1.978811
15T,Melting,1.505646;1.521003;1.553523;1.57972;1.609079;1.660118;1.720641;1.805104;1.905827;2.148374;2.569783;3.091012,2.46477;2.149955;1.850949;1.633695;1.476513;1.23216;0.970189;0.702801;0.404252;-0.05463;-0.953505;-2
15T,Clearing,1.57701;1.649729;1.692186;1.757678;1.840334;1.963641;2.305556;2.600046;2.915763;3.11179;3.238257;3.332657;3.430668;3.548103;4.000226;4.000226,2.45393;1.859982;1.449414;1.125114;0.836495;0.494127;-0.231732;-0.770574;-1.302771;-1.578396;-1.739929;-1.798603;-1.856985;-1.879426;-1.869666;-2
20T,Melting,1.597335;1.65018;1.686314;1.745935;1.894535;2.024617;2.203479;2.682249;3.210252,2.467932;2.029359;1.66486;1.292684;0.685186;0.354569;-0.008597;-0.959002;-2
20T,Clearing,1.680442;1.742321;1.798329;1.880082;1.976287;2.10682;2.322719;2.5201;2.761744;2.998419;3.221093;3.34756;3.432023;3.508807;3.600046;4.000226;4.000226,2.476513;1.796748;1.456639;1.056009;0.753836;0.392046;-0.049684;-0.431798;-0.880414;-1.258061;-1.573489;-1.725842;-1.787812;-1.844664;-1.866461;-1.876148;-1.987163
25T,Melting,1.708898;1.74458;1.810524;1.864273;1.963189;2.069331;2.302846;2.701672;2.996161;3.315492,2.458446;2.035682;1.592593;1.247517;0.880756;0.504063;-0.004058;-0.822464;-1.377786;-2
25T,Clearing,1.805104;1.843496;1.883243;1.932024;1.997516;2.081074;2.180444;2.285231;2.53907;2.867886;3.078366;3.248645;3.404471;3.496161;3.599594;3.67412;4.000226;4.000226,2.484192;1.952575;1.612917;1.319782;1.080399;0.781842;0.471541;0.231699;-0.263763;-0.860751;-1.239578;-1.480172;-1.679854;-1.772113;-1.844664;-1.872895;-1.872895;-1.9914
30T,Melting,1.828139;1.871951;1.942863;1.994806;2.056684;2.114951;2.217479;2.418926;2.8444;3.427958,2.452122;1.910569;1.523035;1.246161;0.953479;0.73171;0.45393;-0.004979;-0.843754;-1.9914
30T,Clearing,1.901762;1.960931;2.01468;2.087398;2.17141;2.269422;2.439251;2.666441;2.871499;3.229674;3.425249;3.568428;3.667345;3.775294;4.000226;4.000226,2.452575;1.983288;1.598013;1.249773;0.886632;0.581756;0.170291;-0.253366;-0.678816;-1.275724;-1.571865;-1.725842;-1.812479;-1.869666;-1.88941;-1.982967
40T,Melting,1.921635;1.983062;2.053071;2.11224;2.188121;2.273487;2.370596;2.549458;2.968609;3.551265;3.551265,2.455285;1.957091;1.504066;1.197832;0.914634;0.621955;0.356829;-0.014888;-0.864549;-1.9914;-1.9914
40T,Clearing,2.025969;2.133018;2.272132;2.376016;2.516034;2.721093;3.017388;3.244129;3.431571;3.59598;3.731482;3.814137;3.908085;3.980804;3.990741;4.000226;4.000226,2.454381;1.709575;0.978322;0.609754;0.253847;-0.201004;-0.762959;-1.134896;-1.419075;-1.627088;-1.772113;-1.835647;-1.876148;-1.879426;-1.882729;-1.882729;-1.9914
50T,Melting,2.007453;2.055783;2.105013;2.198962;2.262195;2.369693;2.561653;2.839883;3.218383;3.658763,2.446251;1.966125;1.617886;1.206866;0.897473;0.57543;0.119685;-0.439018;-1.157391;-2
50T,Clearing,2.103208;2.1827;2.318654;2.414408;2.570235;2.782069;3.051264;3.247743;3.457768;3.712512;3.802394;3.894986;3.959576;4.000226;4.000226,2.456188;1.844173;1.164861;0.791782;0.356829;-0.094852;-0.624154;-0.984221;-1.308919;-1.634512;-1.744727;-1.806875;-1.838632;-1.863279;-2
65T,Melting,2.118113;2.158311;2.190379;2.223351;2.275293;2.345754;2.422087;2.58514;2.792909;3.121724;3.484418;3.759485,2.462059;1.983288;1.649051;1.402439;1.137759;0.882564;0.635956;0.250688;-0.155834;-0.800245;-1.468521;-1.9914
65T,Clearing,2.191283;2.251356;2.303298;2.380081;2.45009;2.529584;2.680895;2.885501;3.176378;3.414408;3.561202;3.706188;3.81775;3.946929;4.000226;4.000226,2.473351;1.898826;1.572719;1.183378;0.919601;0.65628;0.313002;-0.107071;-0.68027;-1.090979;-1.316953;-1.518557;-1.667562;-1.8041;-1.869666;-1.987163
80T,Melting,2.196251;2.273938;2.363369;2.48758;2.600497;2.735998;2.968157;3.243678;3.514679;3.854787,2.452575;1.895664;1.419151;0.892501;0.533874;0.181129;-0.278684;-0.817871;-1.350665;-2
80T,Clearing,2.325429;2.413053;2.502936;2.585592;2.726061;2.922539;3.128951;3.399956;3.642502;4.000226;4.000226,2.459801;1.688347;1.226739;0.910571;0.49639;0.060962;-0.402854;-0.92775;-1.331614;-1.79588;-2
100T,Melting,2.280262;2.373758;2.448736;2.550813;2.663731;2.757678;2.89318;3.060751;3.240966;3.50384;3.932024,2.461608;1.948058;1.549233;1.0813;0.693314;0.396565;0.068186;-0.266963;-0.659358;-1.158015;-1.982967
100T,Clearing,2.391373;2.494806;2.569783;2.653794;2.747742;2.871048;3.00926;3.215672;3.460931;3.713415;4.000226;4.000226,2.468383;1.847335;1.386631;1.020324;0.705966;0.423213;0.100267;-0.331521;-0.819301;-1.254925;-1.709965;-2
140T,Melting,2.483515;2.54178;2.576558;2.63934;2.712963;2.801039;2.910343;3.058491;3.31504;3.720641;4.000226,2.761969;2.255195;1.767841;1.436314;1.061426;0.71861;0.404697;0.097118;-0.392974;-1.187755;-1.756962
140T,Clearing,2.580623;2.638889;2.687218;2.725158;2.805104;2.930217;3.104111;3.406278;3.633468;3.840334;4.000226;4.000226,2.752484;2.186089;1.72177;1.36495;1.004515;0.594404;0.110657;-0.425043;-0.84863;-1.181115;-1.440093;-2
200T,Melting,2.675474;2.709801;2.751807;2.816848;2.884147;2.944219;3.061652;3.20664;3.42299;3.667796;3.998871,2.752936;2.357723;1.901536;1.529358;1.231255;0.891147;0.537945;0.185174;-0.211832;-0.713095;-1.375718
200T,Clearing,2.799232;2.813686;2.876468;2.935185;3.016486;3.097788;3.240514;3.484869;3.734643;4.000226;4.000226,2.750677;2.214995;1.712737;1.32159;0.988706;0.693771;0.3085;-0.238899;-0.694649;-1.124939;-1.375718
1K,Melting,0.294268;0.294268;0.305545;0.3426;0.392732;0.469969;0.600951;0.797427;1.102303;1.352981;1.499774;1.6285,3;2.458446;1.642729;1.275972;0.820234;0.441742;0.023047;-0.385314;-1;-1.481486;-1.769551;-2
1K,Clearing,0.361558;0.361558;0.371049;0.408087;0.487124;0.585596;0.696252;0.946025;1.14973;1.315492;1.498419;1.708898;1.899051;2.039069,3;2.432249;1.83243;1.24571;0.725838;0.309843;0.000911;-0.521289;-0.899629;-1.167491;-1.431798;-1.69897;-1.823909;-1.886057
2K,Melting,0.600047;0.600047;0.622173;0.700764;0.813688;0.988032;1.184507;1.324525;1.518744;1.755872;1.89589;1.968609,3;2.45935;1.313008;0.777325;0.326561;-0.098923;-0.477425;-0.769551;-1.136677;-1.60206;-1.853872;-2
2K,Clearing,0.67231;0.67231;0.682253;0.712515;0.755875;0.83988;0.955962;1.137535;1.314137;1.483965;1.651536;1.832656;1.991192;2.185862;2.339432,3;2.443993;1.841915;1.230804;0.878499;0.487803;0.124667;-0.259716;-0.608888;-0.896196;-1.167491;-1.420216;-1.619789;-1.79588;-1.886057
3K,Melting,0.77755;0.77755;0.790201;0.815491;0.882342;0.96409;1.063911;1.210704;1.413957;1.648825;1.863369;2.037713;2.161925,3;2.480126;2.008132;1.495935;0.955736;0.56639;0.215452;-0.155399;-0.549751;-1.017729;-1.431798;-1.769551;-2
3K,Clearing,0.852529;0.852529;0.857947;0.892729;0.952347;1.075656;1.197606;1.424346;1.626242;1.784778;1.963641;2.178635;2.538166,3;2.442186;1.955736;1.501355;0.962961;0.374437;0.040642;-0.417823;-0.780154;-1.055517;-1.318759;-1.60206;-1.886057
5K,Melting,0.998421;0.998421;1.008809;1.041779;1.073847;1.14431;1.235094;1.415763;1.91486;2.147924;2.249548,3;2.467028;1.560072;1.072268;0.794488;0.431798;0.065505;-0.36947;-1.337242;-1.769551;-2
5K,Clearing,1.062556;1.062556;1.063911;1.077913;1.119467;1.171861;1.265358;1.380985;1.539973;1.703026;1.834463;1.997516;2.165087;2.377823;2.522358;2.662828,3;2.44038;1.958446;1.483288;1.008583;0.63821;0.213651;-0.122859;-0.453457;-0.725842;-0.950782;-1.207608;-1.431798;-1.677781;-1.79588;-1.886057
6K,Melting,1.096882;1.096882;1.11179;1.137535;1.160571;1.202123;1.268068;1.352078;1.462738;1.673216;2.000677;2.185862;2.289747;2.343948,3;2.467028;2.023034;1.560072;1.168474;0.785458;0.434505;0.111094;-0.237096;-0.686133;-1.337242;-1.677781;-1.886057;-2
6K,Clearing,1.161925;1.161925;1.176378;1.199865;1.248645;1.298329;1.364724;1.453253;1.537262;1.628049;1.734192;1.872403;2.015129;2.221093;2.402213;2.6014;2.726061,3;2.460704;1.888437;1.399729;0.961155;0.625117;0.3365;0.023047;-0.222646;-0.406492;-0.605723;-0.866461;-1.113509;-1.408935;-1.638272;-1.79588;-1.886057
8K,Melting,1.186767;1.186767;1.196704;1.226966;1.263551;1.305104;1.368789;1.421183;1.487127;1.568428;1.663279;1.801491;2.027325;2.184958;2.323172;2.47448,3;2.478771;2.11879;1.767841;1.357723;1.013549;0.640014;0.359532;0.116076;-0.141403;-0.38934;-0.67162;-1.119186;-1.431798;-1.69897;-2
8K,Clearing,1.264003;1.264003;1.284778;1.301039;1.33085;1.383695;1.447832;1.502484;1.595528;1.726965;1.940154;2.216575;2.442864;2.675926;2.89047,3;2.452122;2.060977;1.704156;1.381662;0.947605;0.577687;0.318877;-0.006784;-0.322484;-0.764724;-1.229148;-1.537602;-1.744727;-1.886057
