type,curve,i,t
L,fast,0.0201262524871167;0.0376041637407675;0.054518066187841;0.079889292386419;0.107515225651465;0.137396842326101;0.173479973665291;0.220839232285572;0.288649790381807;0.338183878311204;0.381064154213105;0.433392321577487;0.49639738044993;0.578853096023869;0.713601580601179;0.834818825776225;1.05752023709255;1.25715247208516;1.38357541481511;1.47672902554854;1.47672902554854,-0.27083521030723;-0.366733588844575;-0.453457336521869;-0.550521600812635;-0.624519285381428;-0.705093089394808;-0.780153613975639;-0.868060704789575;-0.958212681028248;-1.01099538430146;-1.05453141486818;-1.10513034325475;-1.15552282425432;-1.21681130892474;-1.29756946355447;-1.35654732351381;-1.44855000202712;-1.49757288001557;-1.52724355068279;-1.54975089168064;-1.54975089168064
L,slow,0.0016489219442314;0.0554211470302253;0.158639568016098;0.263712033894165;0.353332742553005;0.41204974751104;0.460259456811287;0.509705367318677;0.577693389766924;0.632701906211405;0.684620080259669;0.787838351732971;0.909598814767234;1.08513160520813;1.23600409229888;1.32278935589658;1.47444397579303,1.09694822924097;0.84184105744958;0.602797665101996;0.407951470832673;0.290768950066559;0.216456214915742;0.166222834572084;0.103974669386388;0.000867721531226913;-0.105628546143762;-0.198047765145718;-0.331241458249042;-0.457797217565972;-0.607127254597921;-0.711303739409744;-0.774174008538107;-0.876475019057268
V4L_V4E,fast,0.00432137378264258;0.0413926851582251;0.0791812460476248;0.12057393120585;0.178976947293169;0.2405492482826;0.305351369446624;0.3654879848909;0.437750562820388;0.535294120042771;0.658011396657112;0.788875115775417;0.912222056532416;1.01828430842653;1.11494441571258;1.25333800532611;1.36436335461573;1.47813342810052,-0.209011524911184;-0.339134521996131;-0.448550002027125;-0.559090917934782;-0.675717544702307;-0.779891911959945;-0.882728704344236;-0.958607314841775;-1.0268721464003;-1.11350927482752;-1.18708664335714;-1.2518119729938;-1.31875876262441;-1.35654732351381;-1.39794000867204;-1.43179827593301;-1.45593195564972;-1.46852108295774
V4L_V4E,slow,0.00260575132700505;0.0779925491702698;0.172667136669263;0.277861238225117;0.36026311817269;0.414613402575141;0.44704820299434;0.508411467042585;0.574157947427126;0.643410626848458;0.697760984358826;0.785422664434009;0.913408816370554;1.08434917012311;1.23600414274296;1.32278925262875;1.47444404862303,1.05252080510014;0.811869797113342;0.61623388022161;0.434856209740375;0.308543071784685;0.233529127268621;0.186984572160062;0.12241249541128;0.0246087961265579;-0.0912469808154663;-0.181510177795787;-0.297311031840867;-0.436993812938206;-0.594653639824291;-0.711303739409744;-0.774174008538107;-0.876475019057268
V4H,fast,0.00149573729676011;0.0781304308025642;0.171629933043454;0.242399787437672;0.282934638057257;0.32624776396238;0.386138538883413;0.447328613526517;0.497365107272059;0.562144107996071;0.634024602262886;0.737237978773259;0.837416074975772;1.00589745042724;1.11518299548642;1.20777166136147;1.30339630526973,-0.221053272031383;-0.443335737877432;-0.674074044228534;-0.806318970458718;-0.877784121727173;-0.942333896090171;-1.02872415126189;-1.09420411963213;-1.14266750356873;-1.19517932127884;-1.24412514432751;-1.30715308072277;-1.35163998901907;-1.40560744962457;-1.42596873227228;-1.43770713554353;-1.44129142946683
V4H,slow,0;0.0418662027212926;0.196921944819459;0.361312225102327;0.466941725717638;0.572639297042813;0.732988496701094;0.914549411238287;1.15393980127557;1.29667615715543,0.985547718284561;0.856366323659248;0.432247538268601;0.0867156639448825;-0.100726812682396;-0.256568634853316;-0.442132038431978;-0.60977163753087;-0.791827473332878;-0.871600731282194
4E,fast,0;0.0194071080188834;0.0518853788898717;0.0839324016386259;0.112068504268197;0.15998504570519;0.209816235364314;0.25503333601957;0.292868083777632;0.343622241703351;0.424828571093494;0.527259368268355;0.61584824867019;0.770741583752774;0.910736325334352;1.10954615076974;1.29987959072917;1.45802748960223,-0.151810883008601;-0.258848401148215;-0.361510743045363;-0.459670525209126;-0.530177984021837;-0.654822383457296;-0.753747687700678;-0.813608784304507;-0.869666231504994;-0.935542010773082;-1.01863449092146;-1.10846254232744;-1.16941133131486;-1.25963731050576;-1.32790214206428;-1.40560744962457;-1.46852108295774;-1.51427857351842
4E,slow,0;0.0566380973796525;0.126468447479612;0.204662511748219;0.296687123772402;0.382539323422204;0.555885377813592;0.661064657803889;0.765052955060351;0.895185000464955;1.02518297531822;1.16322702126223;1.46043124407379,1;0.809425028797034;0.659640520906919;0.509471352102549;0.368658712392227;0.262451089730429;0.0188668631509068;-0.1438755557577;-0.278271801427212;-0.412289034981089;-0.531652669587843;-0.636388020107856;-0.825940192274975
4H,fast,0.00149573729676011;0.0781304308025642;0.171629933043454;0.242399787437672;0.282934638057257;0.32624776396238;0.386138538883413;0.447328613526517;0.497365107272059;0.562144107996071;0.634024602262886;0.737237978773259;0.837416074975772;1.00589745042724;1.11518299548642;1.20777166136147;1.30339630526973,-0.221053272031383;-0.443335737877432;-0.674074044228534;-0.806318970458718;-0.877784121727173;-0.942333896090171;-1.02872415126189;-1.09420411963213;-1.14266750356873;-1.19517932127884;-1.24412514432751;-1.30715308072277;-1.35163998901907;-1.40560744962457;-1.42596873227228;-1.43770713554353;-1.44129142946683
4H,slow,0;0.0418662027212926;0.196921944819459;0.361312225102327;0.466941725717638;0.572639297042813;0.732988496701094;0.914549411238287;1.15393980127557;1.29667615715543,0.985547718284561;0.856366323659248;0.432247538268601;0.0867156639448825;-0.100726812682396;-0.256568634853316;-0.442132038431978;-0.60977163753087;-0.791827473332878;-0.871600731282194
D,fast,0;0.17376882313665;0.283527364861694;0.352568386179309;0.455453968778628;0.564784384503987;0.669130847373333;0.766710207262259;0.893650816985964;1.10274233614457;1.48125625755305,-0.814741234703415;-1.00217691925427;-1.09474395125155;-1.15242734085789;-1.22257317761069;-1.27736607746619;-1.30539480106643;-1.3269790928711;-1.33818731446274;-1.34103515733556;-1.34969247686806
D,slow,0;0.0972573096934199;0.249931756634195;0.413467412985825;0.55303301620244;0.709354775834396;0.818225893613955;0.901785145303599;0.984887201064328;1.06707085604537;1.16734687758564;1.24007475956882;1.31458342620566;1.38234129082396;1.47764209565585,1.30102999566398;1;0.612921538021774;0.300356316981071;0.0664004759556297;-0.19962664510865;-0.364516253185088;-0.475214550678778;-0.57413985492216;-0.656197666838345;-0.744727494896694;-0.811634073936852;-0.853561864714225;-0.889747082646597;-0.93404701968613
E,fast,0;0.0514998191327448;0.111262513659065;0.166726055580052;0.270608970823178;0.374455052409963;0.518158462586691;0.676089749249794;0.846819393669543;1.06449917037182;1.2921430514549,-0.292941059372404;-0.42712839779952;-0.575118363368933;-0.685922008220787;-0.867740310468956;-1.01412464269161;-1.14996674231023;-1.26280735729526;-1.35163998901907;-1.42712839779952;-1.48412615628832
E,slow,0;0.0592604041217308;0.108057373783854;0.161577611048871;0.265501770039226;0.396181905200037;0.552047351843618;0.701619786477205;0.859060201362255;1.04799095996048;1.2022839271519;1.29517553070792,1.03736672853228;0.856571815297644;0.723529553280572;0.578558989858512;0.355106552954492;0.100990523069965;-0.153168247176743;-0.356152689700286;-0.531800413927387;-0.692076296388118;-0.797784224198869;-0.838931614528825
